"Id";"Designator";"Behuizing";"Hoeveelheid";"Orientatie";"Leverancier en ref";
1;"J2";"ECS_2418-11-30";1;"ECS 2418-11-30";;;
2;"J1";"Multicomp_MC9A12-4034_2x20_P2.54mm_Vertical";1;"40 pin boxheader";;;
